
R1	R
1.800000	0.900000
1.900000	0.906061
2.000000	0.911765
2.100000	0.917143
2.200000	0.922222
2.300000	0.927027
2.400000	0.931579
2.500000	0.935897
2.600000	0.940000
2.700000	0.943902
2.800000	0.947619
2.900000	0.951163
3.000000	0.954545
3.100000	0.957778
3.200000	0.960870
3.300000	0.963830
3.400000	0.966667
3.500000	0.969388
3.600000	0.972000
3.700000	0.974510
3.800000	0.976923
3.900000	0.979245
4.000000	0.981481
4.100000	0.983636
4.200000	0.985714
4.300000	0.987719
4.400000	0.989655
4.500000	0.991525
4.600000	0.993333
4.700000	0.995082
4.800000	0.996774
4.900000	0.998413
5.000000	1.000000
5.100000	1.001538
5.200000	1.003030
5.300000	1.004478
5.400000	1.005882
5.500000	1.007246
5.600000	1.008571
5.700000	1.009859
5.800000	1.011111
5.900000	1.012329
6.000000	1.013514
6.100000	1.014667
6.200000	1.015789
6.300000	1.016883
6.400000	1.017949
6.500000	1.018987
6.600000	1.020000
6.700000	1.020988
6.800000	1.021951
6.900000	1.022892
7.000000	1.023810
7.100000	1.024706
7.200000	1.025581
7.300000	1.026437
7.400000	1.027273
7.500000	1.028090
7.600000	1.028889
7.700000	1.029670
7.800000	1.030435
7.900000	1.031183
8.000000	1.031915
8.100000	1.032632
8.200000	1.033333
8.300000	1.034021
8.400000	1.034694
8.500000	1.035354
8.600000	1.036000
8.700000	1.036634
8.800000	1.037255
8.900000	1.037864
9.000000	1.038462
9.100000	1.039048
9.200000	1.039623
9.300000	1.040187
9.400000	1.040741
9.500000	1.041284
9.600000	1.041818
9.700000	1.042342
9.800000	1.042857
9.900000	1.043363
10.000000	1.043860

R5	R
0.100000	0.793333
0.200000	0.800000
0.300000	0.805882
0.400000	0.811111
0.500000	0.815789
0.600000	0.820000
0.700000	0.823810
0.800000	0.827273
0.900000	0.830435
1.000000	0.833333
1.100000	0.836000
1.200000	0.838462
1.300000	0.840741
1.400000	0.842857
1.500000	0.844828
1.600000	0.846667
1.700000	0.848387
1.800000	0.850000
1.900000	0.851515
2.000000	0.852941
2.100000	0.854286
2.200000	0.855556
2.300000	0.856757
2.400000	0.857895
2.500000	0.858974
2.600000	0.860000
2.700000	0.860976
2.800000	0.861905
2.900000	0.862791
3.000000	0.863636
3.100000	0.864444
3.200000	0.865217
3.300000	0.865957
3.400000	0.866667
3.500000	0.867347
3.600000	0.868000
3.700000	0.868627
3.800000	0.869231
3.900000	0.869811
4.000000	0.870370
4.100000	0.870909
4.200000	0.871429
4.300000	0.871930
4.400000	0.872414
4.500000	0.872881
4.600000	0.873333
4.700000	0.873770
4.800000	0.874194
4.900000	0.874603
5.000000	0.875000
5.100000	0.875385
5.200000	0.875758
5.300000	0.876119
5.400000	0.876471
5.500000	0.876812
5.600000	0.877143
5.700000	0.877465
5.800000	0.877778
5.900000	0.878082
6.000000	0.878378
6.100000	0.878667
6.200000	0.878947
6.300000	0.879221
6.400000	0.879487
6.500000	0.879747
6.600000	0.880000
6.700000	0.880247
6.800000	0.880488
6.900000	0.880723
7.000000	0.880952
7.100000	0.881176
7.200000	0.881395
7.300000	0.881609
7.400000	0.881818
7.500000	0.882022
7.600000	0.882222
7.700000	0.882418
7.800000	0.882609
7.900000	0.882796
8.000000	0.882979
8.100000	0.883158
8.200000	0.883333
8.300000	0.883505
8.400000	0.883673
8.500000	0.883838
8.600000	0.884000
8.700000	0.884158
8.800000	0.884314
8.900000	0.884466
9.000000	0.884615
9.100000	0.884762
9.200000	0.884906
9.300000	0.885047
9.400000	0.885185
9.500000	0.885321
9.600000	0.885455
9.700000	0.885586
9.800000	0.885714
9.900000	0.885841
10.000000	0.885965

R6	R
0.100000	0.673333
0.200000	0.700000
0.300000	0.723529
0.400000	0.744444
0.500000	0.763158
0.600000	0.780000
0.700000	0.795238
0.800000	0.809091
0.900000	0.821739
1.000000	0.833333
1.100000	0.844000
1.200000	0.853846
1.300000	0.862963
1.400000	0.871429
1.500000	0.879310
1.600000	0.886667
1.700000	0.893548
1.800000	0.900000
1.900000	0.906061
2.000000	0.911765
2.100000	0.917143
2.200000	0.922222
2.300000	0.927027
2.400000	0.931579
2.500000	0.935897
2.600000	0.940000
2.700000	0.943902
2.800000	0.947619
2.900000	0.951163
3.000000	0.954545
3.100000	0.957778
3.200000	0.960870
3.300000	0.963830
3.400000	0.966667
3.500000	0.969388
3.600000	0.972000
3.700000	0.974510
3.800000	0.976923
3.900000	0.979245
4.000000	0.981481
4.100000	0.983636
4.200000	0.985714
4.300000	0.987719
4.400000	0.989655
4.500000	0.991525
4.600000	0.993333
4.700000	0.995082
4.800000	0.996774
4.900000	0.998413
5.000000	1.000000
5.100000	1.001538
5.200000	1.003030
5.300000	1.004478
5.400000	1.005882
5.500000	1.007246
5.600000	1.008571
5.700000	1.009859
5.800000	1.011111
5.900000	1.012329
6.000000	1.013514
6.100000	1.014667
6.200000	1.015789
6.300000	1.016883
6.400000	1.017949
6.500000	1.018987
6.600000	1.020000
6.700000	1.020988
6.800000	1.021951
6.900000	1.022892
7.000000	1.023810
7.100000	1.024706
7.200000	1.025581
7.300000	1.026437
7.400000	1.027273
7.500000	1.028090
7.600000	1.028889
7.700000	1.029670
7.800000	1.030435
7.900000	1.031183
8.000000	1.031915
8.100000	1.032632
8.200000	1.033333
8.300000	1.034021
8.400000	1.034694
8.500000	1.035354
8.600000	1.036000
8.700000	1.036634
8.800000	1.037255
8.900000	1.037864
9.000000	1.038462
9.100000	1.039048
9.200000	1.039623
9.300000	1.040187
9.400000	1.040741
9.500000	1.041284
9.600000	1.041818
9.700000	1.042342
9.800000	1.042857
9.900000	1.043363
10.000000	1.043860

R7	R
0.100000	0.793333
0.200000	0.800000
0.300000	0.805882
0.400000	0.811111
0.500000	0.815789
0.600000	0.820000
0.700000	0.823810
0.800000	0.827273
0.900000	0.830435
1.000000	0.833333
1.100000	0.836000
1.200000	0.838462
1.300000	0.840741
1.400000	0.842857
1.500000	0.844828
1.600000	0.846667
1.700000	0.848387
1.800000	0.850000
1.900000	0.851515
2.000000	0.852941
2.100000	0.854286
2.200000	0.855556
2.300000	0.856757
2.400000	0.857895
2.500000	0.858974
2.600000	0.860000
2.700000	0.860976
2.800000	0.861905
2.900000	0.862791
3.000000	0.863636
3.100000	0.864444
3.200000	0.865217
3.300000	0.865957
3.400000	0.866667
3.500000	0.867347
3.600000	0.868000
3.700000	0.868627
3.800000	0.869231
3.900000	0.869811
4.000000	0.870370
4.100000	0.870909
4.200000	0.871429
4.300000	0.871930
4.400000	0.872414
4.500000	0.872881
4.600000	0.873333
4.700000	0.873770
4.800000	0.874194
4.900000	0.874603
5.000000	0.875000
5.100000	0.875385
5.200000	0.875758
5.300000	0.876119
5.400000	0.876471
5.500000	0.876812
5.600000	0.877143
5.700000	0.877465
5.800000	0.877778
5.900000	0.878082
6.000000	0.878378
6.100000	0.878667
6.200000	0.878947
6.300000	0.879221
6.400000	0.879487
6.500000	0.879747
6.600000	0.880000
6.700000	0.880247
6.800000	0.880488
6.900000	0.880723
7.000000	0.880952
7.100000	0.881176
7.200000	0.881395
7.300000	0.881609
7.400000	0.881818
7.500000	0.882022
7.600000	0.882222
7.700000	0.882418
7.800000	0.882609
7.900000	0.882796
8.000000	0.882979
8.100000	0.883158
8.200000	0.883333
8.300000	0.883505
8.400000	0.883673
8.500000	0.883838
8.600000	0.884000
8.700000	0.884158
8.800000	0.884314
8.900000	0.884466
9.000000	0.884615
9.100000	0.884762
9.200000	0.884906
9.300000	0.885047
9.400000	0.885185
9.500000	0.885321
9.600000	0.885455
9.700000	0.885586
9.800000	0.885714
9.900000	0.885841
10.000000	0.885965

R8	R
0.100000	0.673333
0.200000	0.700000
0.300000	0.723529
0.400000	0.744444
0.500000	0.763158
0.600000	0.780000
0.700000	0.795238
0.800000	0.809091
0.900000	0.821739
1.000000	0.833333
1.100000	0.844000
1.200000	0.853846
1.300000	0.862963
1.400000	0.871429
1.500000	0.879310
1.600000	0.886667
1.700000	0.893548
1.800000	0.900000
1.900000	0.906061
2.000000	0.911765
2.100000	0.917143
2.200000	0.922222
2.300000	0.927027
2.400000	0.931579
2.500000	0.935897
2.600000	0.940000
2.700000	0.943902
2.800000	0.947619
2.900000	0.951163
3.000000	0.954545
3.100000	0.957778
3.200000	0.960870
3.300000	0.963830
3.400000	0.966667
3.500000	0.969388
3.600000	0.972000
3.700000	0.974510
3.800000	0.976923
3.900000	0.979245
4.000000	0.981481
4.100000	0.983636
4.200000	0.985714
4.300000	0.987719
4.400000	0.989655
4.500000	0.991525
4.600000	0.993333
4.700000	0.995082
4.800000	0.996774
4.900000	0.998413
5.000000	1.000000
5.100000	1.001538
5.200000	1.003030
5.300000	1.004478
5.400000	1.005882
5.500000	1.007246
5.600000	1.008571
5.700000	1.009859
5.800000	1.011111
5.900000	1.012329
6.000000	1.013514
6.100000	1.014667
6.200000	1.015789
6.300000	1.016883
6.400000	1.017949
6.500000	1.018987
6.600000	1.020000
6.700000	1.020988
6.800000	1.021951
6.900000	1.022892
7.000000	1.023810
7.100000	1.024706
7.200000	1.025581
7.300000	1.026437
7.400000	1.027273
7.500000	1.028090
7.600000	1.028889
7.700000	1.029670
7.800000	1.030435
7.900000	1.031183
8.000000	1.031915
8.100000	1.032632
8.200000	1.033333
8.300000	1.034021
8.400000	1.034694
8.500000	1.035354
8.600000	1.036000
8.700000	1.036634
8.800000	1.037255
8.900000	1.037864
9.000000	1.038462
9.100000	1.039048
9.200000	1.039623
9.300000	1.040187
9.400000	1.040741
9.500000	1.041284
9.600000	1.041818
9.700000	1.042342
9.800000	1.042857
9.900000	1.043363
10.000000	1.043860

R9	R
0.100000	0.793333
0.200000	0.800000
0.300000	0.805882
0.400000	0.811111
0.500000	0.815789
0.600000	0.820000
0.700000	0.823810
0.800000	0.827273
0.900000	0.830435
1.000000	0.833333
1.100000	0.836000
1.200000	0.838462
1.300000	0.840741
1.400000	0.842857
1.500000	0.844828
1.600000	0.846667
1.700000	0.848387
1.800000	0.850000
1.900000	0.851515
2.000000	0.852941
2.100000	0.854286
2.200000	0.855556
2.300000	0.856757
2.400000	0.857895
2.500000	0.858974
2.600000	0.860000
2.700000	0.860976
2.800000	0.861905
2.900000	0.862791
3.000000	0.863636
3.100000	0.864444
3.200000	0.865217
3.300000	0.865957
3.400000	0.866667
3.500000	0.867347
3.600000	0.868000
3.700000	0.868627
3.800000	0.869231
3.900000	0.869811
4.000000	0.870370
4.100000	0.870909
4.200000	0.871429
4.300000	0.871930
4.400000	0.872414
4.500000	0.872881
4.600000	0.873333
4.700000	0.873770
4.800000	0.874194
4.900000	0.874603
5.000000	0.875000
5.100000	0.875385
5.200000	0.875758
5.300000	0.876119
5.400000	0.876471
5.500000	0.876812
5.600000	0.877143
5.700000	0.877465
5.800000	0.877778
5.900000	0.878082
6.000000	0.878378
6.100000	0.878667
6.200000	0.878947
6.300000	0.879221
6.400000	0.879487
6.500000	0.879747
6.600000	0.880000
6.700000	0.880247
6.800000	0.880488
6.900000	0.880723
7.000000	0.880952
7.100000	0.881176
7.200000	0.881395
7.300000	0.881609
7.400000	0.881818
7.500000	0.882022
7.600000	0.882222
7.700000	0.882418
7.800000	0.882609
7.900000	0.882796
8.000000	0.882979
8.100000	0.883158
8.200000	0.883333
8.300000	0.883505
8.400000	0.883673
8.500000	0.883838
8.600000	0.884000
8.700000	0.884158
8.800000	0.884314
8.900000	0.884466
9.000000	0.884615
9.100000	0.884762
9.200000	0.884906
9.300000	0.885047
9.400000	0.885185
9.500000	0.885321
9.600000	0.885455
9.700000	0.885586
9.800000	0.885714
9.900000	0.885841
10.000000	0.885965

R10	R
0.100000	0.793333
0.200000	0.800000
0.300000	0.805882
0.400000	0.811111
0.500000	0.815789
0.600000	0.820000
0.700000	0.823810
0.800000	0.827273
0.900000	0.830435
1.000000	0.833333
1.100000	0.836000
1.200000	0.838462
1.300000	0.840741
1.400000	0.842857
1.500000	0.844828
1.600000	0.846667
1.700000	0.848387
1.800000	0.850000
1.900000	0.851515
2.000000	0.852941
2.100000	0.854286
2.200000	0.855556
2.300000	0.856757
2.400000	0.857895
2.500000	0.858974
2.600000	0.860000
2.700000	0.860976
2.800000	0.861905
2.900000	0.862791
3.000000	0.863636
3.100000	0.864444
3.200000	0.865217
3.300000	0.865957
3.400000	0.866667
3.500000	0.867347
3.600000	0.868000
3.700000	0.868627
3.800000	0.869231
3.900000	0.869811
4.000000	0.870370
4.100000	0.870909
4.200000	0.871429
4.300000	0.871930
4.400000	0.872414
4.500000	0.872881
4.600000	0.873333
4.700000	0.873770
4.800000	0.874194
4.900000	0.874603
5.000000	0.875000
5.100000	0.875385
5.200000	0.875758
5.300000	0.876119
5.400000	0.876471
5.500000	0.876812
5.600000	0.877143
5.700000	0.877465
5.800000	0.877778
5.900000	0.878082
6.000000	0.878378
6.100000	0.878667
6.200000	0.878947
6.300000	0.879221
6.400000	0.879487
6.500000	0.879747
6.600000	0.880000
6.700000	0.880247
6.800000	0.880488
6.900000	0.880723
7.000000	0.880952
7.100000	0.881176
7.200000	0.881395
7.300000	0.881609
7.400000	0.881818
7.500000	0.882022
7.600000	0.882222
7.700000	0.882418
7.800000	0.882609
7.900000	0.882796
8.000000	0.882979
8.100000	0.883158
8.200000	0.883333
8.300000	0.883505
8.400000	0.883673
8.500000	0.883838
8.600000	0.884000
8.700000	0.884158
8.800000	0.884314
8.900000	0.884466
9.000000	0.884615
9.100000	0.884762
9.200000	0.884906
9.300000	0.885047
9.400000	0.885185
9.500000	0.885321
9.600000	0.885455
9.700000	0.885586
9.800000	0.885714
9.900000	0.885841
10.000000	0.885965

R11	R
0.100000	0.673333
0.200000	0.700000
0.300000	0.723529
0.400000	0.744444
0.500000	0.763158
0.600000	0.780000
0.700000	0.795238
0.800000	0.809091
0.900000	0.821739
1.000000	0.833333
1.100000	0.844000
1.200000	0.853846
1.300000	0.862963
1.400000	0.871429
1.500000	0.879310
1.600000	0.886667
1.700000	0.893548
1.800000	0.900000
1.900000	0.906061
2.000000	0.911765
2.100000	0.917143
2.200000	0.922222
2.300000	0.927027
2.400000	0.931579
2.500000	0.935897
2.600000	0.940000
2.700000	0.943902
2.800000	0.947619
2.900000	0.951163
3.000000	0.954545
3.100000	0.957778
3.200000	0.960870
3.300000	0.963830
3.400000	0.966667
3.500000	0.969388
3.600000	0.972000
3.700000	0.974510
3.800000	0.976923
3.900000	0.979245
4.000000	0.981481
4.100000	0.983636
4.200000	0.985714
4.300000	0.987719
4.400000	0.989655
4.500000	0.991525
4.600000	0.993333
4.700000	0.995082
4.800000	0.996774
4.900000	0.998413
5.000000	1.000000
5.100000	1.001538
5.200000	1.003030
5.300000	1.004478
5.400000	1.005882
5.500000	1.007246
5.600000	1.008571
5.700000	1.009859
5.800000	1.011111
5.900000	1.012329
6.000000	1.013514
6.100000	1.014667
6.200000	1.015789
6.300000	1.016883
6.400000	1.017949
6.500000	1.018987
6.600000	1.020000
6.700000	1.020988
6.800000	1.021951
6.900000	1.022892
7.000000	1.023810
7.100000	1.024706
7.200000	1.025581
7.300000	1.026437
7.400000	1.027273
7.500000	1.028090
7.600000	1.028889
7.700000	1.029670
7.800000	1.030435
7.900000	1.031183
8.000000	1.031915
8.100000	1.032632
8.200000	1.033333
8.300000	1.034021
8.400000	1.034694
8.500000	1.035354
8.600000	1.036000
8.700000	1.036634
8.800000	1.037255
8.900000	1.037864
9.000000	1.038462
9.100000	1.039048
9.200000	1.039623
9.300000	1.040187
9.400000	1.040741
9.500000	1.041284
9.600000	1.041818
9.700000	1.042342
9.800000	1.042857
9.900000	1.043363
10.000000	1.043860

R12	R
0.100000	0.673333
0.200000	0.700000
0.300000	0.723529
0.400000	0.744444
0.500000	0.763158
0.600000	0.780000
0.700000	0.795238
0.800000	0.809091
0.900000	0.821739
1.000000	0.833333
1.100000	0.844000
1.200000	0.853846
1.300000	0.862963
1.400000	0.871429
1.500000	0.879310
1.600000	0.886667
1.700000	0.893548
1.800000	0.900000
1.900000	0.906061
2.000000	0.911765
2.100000	0.917143
2.200000	0.922222
2.300000	0.927027
2.400000	0.931579
2.500000	0.935897
2.600000	0.940000
2.700000	0.943902
2.800000	0.947619
2.900000	0.951163
3.000000	0.954545
3.100000	0.957778
3.200000	0.960870
3.300000	0.963830
3.400000	0.966667
3.500000	0.969388
3.600000	0.972000
3.700000	0.974510
3.800000	0.976923
3.900000	0.979245
4.000000	0.981481
4.100000	0.983636
4.200000	0.985714
4.300000	0.987719
4.400000	0.989655
4.500000	0.991525
4.600000	0.993333
4.700000	0.995082
4.800000	0.996774
4.900000	0.998413
5.000000	1.000000
5.100000	1.001538
5.200000	1.003030
5.300000	1.004478
5.400000	1.005882
5.500000	1.007246
5.600000	1.008571
5.700000	1.009859
5.800000	1.011111
5.900000	1.012329
6.000000	1.013514
6.100000	1.014667
6.200000	1.015789
6.300000	1.016883
6.400000	1.017949
6.500000	1.018987
6.600000	1.020000
6.700000	1.020988
6.800000	1.021951
6.900000	1.022892
7.000000	1.023810
7.100000	1.024706
7.200000	1.025581
7.300000	1.026437
7.400000	1.027273
7.500000	1.028090
7.600000	1.028889
7.700000	1.029670
7.800000	1.030435
7.900000	1.031183
8.000000	1.031915
8.100000	1.032632
8.200000	1.033333
8.300000	1.034021
8.400000	1.034694
8.500000	1.035354
8.600000	1.036000
8.700000	1.036634
8.800000	1.037255
8.900000	1.037864
9.000000	1.038462
9.100000	1.039048
9.200000	1.039623
9.300000	1.040187
9.400000	1.040741
9.500000	1.041284
9.600000	1.041818
9.700000	1.042342
9.800000	1.042857
9.900000	1.043363
10.000000	1.043860
